angle_deg,norm_counts,ex,ey
27.9,0.025,8,0.0144338
28.8,0.0833333,8,0.0372678
29.5,0.0357143,8,0.0252538
30.2,0.0333333,8,0.0333333
30.5,0.0714286,8,0.0252538
31.6,0.1,8,0.0408248
31.7,0.0535714,8,0.0309295
32.8,0.0416667,8,0.0186339
32.9,0.0666667,8,0.0333333
36.3,0.0666667,8,0.0333333
37.2,0.025,8,0.0144338
42.2,0.0166667,8,0.0117851
43.9,0.00833333,8,0.00833333
45.4,0.0333333,8,0.0235702
46.1,0.0357143,8,0.0178571
46.5,0.00833333,8,0.00833333
46.6,0.025,8,0.025
46.7,0.0125,8,0.0125
52,0.0125,8,0.0125
58.6,0.025,8,0.0144338
59.5,0.0166667,8,0.0117851
60,0.0192308,8,0.0192308
60.6,0.0166667,8,0.0117851
60.9,0.0125,8,0.0125
61,0.0166667,8,0.0166667
63.4,0.0133333,8,0.00942809
64.6,0.00862069,8,0.00609575
71.9,0.0166667,8,0.0166667
72,0.0384615,8,0.0271964
74.2,0.00892857,8,0.00892857
75,0.00833333,8,0.00833333
77.2,0.025,8,0.0144338
79.4,0.00990099,8,0.00990099
80.3,0.00892857,8,0.00892857
82.6,0.00431034,8,0.00431034
87.1,0.00833333,8,0.00833333
88.9,0.05,8,0.05
89,0.025,8,0.025
90,0.00515464,8,0.00364488
97.4,0.0172414,8,0.00862069
99.7,0.00892857,8,0.00892857
102.8,0.00833333,8,0.00833333
104.6,0.00833333,8,0.00833333
105.6,0.00833333,8,0.00833333
108,0.0192308,8,0.0192308
110.8,0.00833333,8,0.00833333
115.4,0.00431034,8,0.00431034
117.3,0.00892857,8,0.00892857
119.5,0.0178571,8,0.0178571
120,0.0192308,8,0.0192308
120.5,0.0166667,8,0.0117851
121.4,0.00833333,8,0.00833333
121.7,0.0178571,8,0.0178571
125.4,0.0166667,8,0.0166667
126,0.00892857,8,0.00892857
131.8,0.0178571,8,0.0126269
133.5,0.00833333,8,0.00833333
133.9,0.0178571,8,0.0126269
134.6,0.0166667,8,0.0166667
136.1,0.025,8,0.0144338
137.8,0.00833333,8,0.00833333
142.8,0.0166667,8,0.0117851
150.5,0.0178571,8,0.0178571
152.1,0.00833333,8,0.00833333
160.6,0.05,8,0.0288675
161.9,0.00892857,8,0.00892857
162,0.00833333,8,0.00833333
165.2,0.0166667,8,0.0166667
